class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1038,1028,1002,1017,1122,1121,1044,1006,349791.330,3766863.736
Water,1045,1016,1017,1020,1159,1143,1044,1006,349791.817,3766894.550
Water,1032,1029,1011,1016,1138,1128,1042,1009,349780.176,3766859.315
Water,1042,1032,1014,1019,1159,1130,1030,1012,349753.381,3766874.688
Water,1039,1038,1011,1023,1138,1143,1053,1019,349769.076,3766898.313
Water,1043,1029,1014,1017,1153,1136,1045,1025,349750.885,3766860.416
Water,1032,1029,1011,1016,1138,1128,1042,1009,349789.887,3766857.205
Water,1042,1016,1022,1020,1166,1144,1047,1010,349798.118,3766909.780
Water,1041,1019,1022,1021,1167,1150,1054,1012,349785.695,3766907.317
Water,1036,1032,1015,1022,1148,1133,1055,1018,349765.691,3766869.269
Water,1039,1032,1008,1012,1165,1135,1021,1014,349804.129,3766853.958
Water,1041,1014,1021,1020,1171,1144,1050,1012,349792.721,3766916.530
Water,1039,1038,1011,1023,1138,1143,1053,1019,349762.065,3766890.755
Water,1045,1016,1017,1020,1159,1143,1044,1006,349794.431,3766893.001
Water,1046,1022,1011,1014,1161,1128,1045,1009,349812.455,3766888.127
Water,1041,1023,1008,1014,1148,1158,1042,1022,349757.293,3766840.513
Water,1045,1021,1026,1008,1157,1109,1054,1032,352932.315,3765569.655
Water,1043,1023,1026,1008,1144,1115,1056,1038,352941.750,3765557.062
Water,1040,1020,1029,1006,1144,1123,1038,1033,352939.662,3765578.422
Water,1038,1018,1029,1007,1132,1123,1045,1022,352924.497,3765575.430
Water,1028,1023,1033,1005,1158,1129,1051,1035,352929.401,3765580.310
Water,1045,1021,1026,1008,1157,1109,1054,1032,352930.258,3765564.318
Water,1044,1025,1029,1004,1173,1103,1055,1025,352942.817,3765576.645
Water,1045,1021,1026,1008,1157,1109,1054,1032,352931.340,3765561.872
Water,1044,1026,1023,1009,1161,1098,1041,1035,352933.868,3765557.229
